Clade_1,Clade_2,Clade_3,Clade_4,Altricial,Extinct,Ecto_Endo_Meso,polar,Captive_Wild,Wild_Domesticated,Curve_or_equation,Species_binomial,maxGG3,G3M.est,G3K.est,MaxG.Mest.G3,MetabolicMass,MR.observed_metabolic_rate,MassnormMet27,MassnormMet25,MassnormMet,Temp_C_original
Neornithes,Neoaves,Passeriformes,Passeriformes,Altricial,L,endo,NaN,W,W,N,Aimophila_carpalis,1.689452914,13.60117442,0.337647986,0.238541411,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,W,W,N,Aix_galericulata,9.993533779,559.4261356,0.048559121,0.086878441,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Galliformes,Galliformes,Precocial,L,endo,NaN,C,W,N,Alectoris_chukar,8.173529978,528.8344636,0.042013067,0.074117344,475,1.961,0.019273358,0.019273358,0.019273358,NA
Neornithes,Galloanserae,Galliformes,Galliformes,Precocial,L,endo,NaN,C,W,N,Alectura_lathami,10.90950968,1860.488563,0.015939427,0.038511016,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Psittaciformes,Psittaciformes,Altricial,L,endo,NaN,W,W,N,Amazona_aestiva,10.5049222,332.434722,0.085897583,0.134931409,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Psittaciformes,Psittaciformes,Altricial,L,endo,NaN,W,W,N,Amazona_agilis,9.867490596,191.4648812,0.140091594,0.191707841,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,C,W,N,Anas_rubripes,26.4398896,1115.141014,0.064450209,0.137013164,NA,NA,NA,NA,NA,NA
Neornithes,Palaeognathae,Struthioniformes,Struthioniformes,Precocial,L,endo,NaN,W,W,N,Apteryx_mantelli,4.291466167,2153.691616,0.005416474,0.013574319,2380,4.029,0.011824003,0.011824003,0.011824003,NA
Neornithes,Neoaves,Accipitriformes,Accipitriformes,Altricial,L,endo,NaN,W,W,N,Aquila_chrysaetos,105.9794999,3457.881217,0.083311754,0.235025136,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Psittaciformes,Psittaciformes,Altricial,L,endo,NaN,W,W,N,Ara_macao,28.34834141,1016.59972,0.075800514,0.157458157,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Apodiformes,Apodiformes,Altricial,L,endo,NaN,W,W,N,Archilochus_alexandri,0.427084526,4.455075979,0.260587274,0.139274786,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,C,W,N,Aythya_affinis,16.9464097,564.0978736,0.081661569,0.146407004,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,W,W,N,Aythya_americana,19.57115971,877.3737853,0.06063542,0.121402623,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,W,W,N,Aythya_valisineria,25.573948,1204.412053,0.057718783,0.125088233,NA,NA,NA,NA,NA,NA
Neornithes,Galloanserae,Anseriformes,Anseriformes,Precocial,L,endo,NaN,C,W,N,Branta_hutchinsii,36.06459727,1268.807136,0.077264492,0.169642388,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Falconiformes,Falconiformes,Altricial,L,endo,NaN,W,W,N,Buteo_jamaicensis,37.16049609,1137.963883,0.088766175,0.189664104,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Falconiformes,Falconiformes,Altricial,L,endo,NaN,W,D,N,Buteo_swainsoni,33.65137134,685.9483579,0.133353933,0.25106386,NA,NA,NA,NA,NA,NA
Neornithes,Neoaves,Passeriformes,Passeriformes,Altricial,L,endo,NaN,W,W,N,Campylorhynchus_brunneicapillus,2.310423352,34.80432661,0.180448307,0.161237716,NA,NA,NA,NA,NA,NA
Neornithes,Palaeognathae,Struthioniformes,Struthioniformes,Precocial,L,endo,NaN,C,W,N,Casuarius_bennetti,89.19429166,17600,0.013775865,0.058371729,17600,24.988,0.016352983,0.016352983,0.016352983,NA
