,Sample ID,Pool Name,Location,Source,T (C),pH,Ca (ppm),Mg (ppm),Na (ppm),K (ppm),HCO3 (ppm),Cl (ppm),SO4 (ppm),TDS (ppm),Log pCO2,SI Cal,SI Dol,SI Gyp,Ext C,Balance
1,CC080724-4,"Across from Big Shelf, BR-25","Big Room, CC",UNM ,14.70,8.90,47.12,168.30,109.30,22.25,361.55,161.98,229.98,1100.48,-3.55,1.23,3.23,-1.70,0.0002,0.20
2,CC080724-8,"North of Cross, BR-30","Big Room, CC",UNM ,14.90,8.17,24.85,81.29,32.70,8.59,289.22,46.54,264.17,747.36,-2.81,0.28,1.29,-1.76,0.0035,-0.25
3,CC080724-12,"Mirror Lake, BR-12","Big Room, CC",UNM ,14.60,8.41,32.53,11.48,5.49,0.99,151.63,4.75,18.43,225.30,-3.30,0.51,0.77,-2.53,0.0014,-0.11
4,CC080724-16,"Crystal Spring Dome, BR-44","Big Room, CC",UNM ,14.00,8.41,28.40,18.12,4.60,0.96,187.02,2.78,8.37,250.24,-3.22,0.53,1.07,-2.95,0.0017,-0.09
5,CC080722-8,"Longfellow, BR-46","Big Room, CC",UNM ,14.30,8.69,105.00,33.46,7.89,2.43,130.58,5.64,489.11,774.11,-3.71,0.99,1.69,-0.91,0.0032,-0.40
6,HB090804-3,Horseshoe Pool,Hell Below,UNM ,13.40,7.73,24.81,65.62,6.41,1.09,156.81,6.87,75.28,336.88,-2.63,-0.34,-0.08,-2.19,0.0000,0.44
7,HB090804-4,Peaky Meringue Pool ,Hell Below,UNM ,13.30,8.02,22.68,69.29,6.67,1.11,312.41,7.25,81.53,500.94,-2.62,0.18,1.02,-2.22,0.0026,0.00
8,CC090806-3,Texas Pool,"NM Room, CC",UNM ,15.80,7.89,20.50,35.24,5.99,0.78,200.75,4.67,16.52,284.45,-2.66,-0.07,0.31,-2.84,0.0015,0.09
9,CC090806-4,New Mexico Pool,"NM Room, CC",UNM ,15.80,7.82,18.84,39.52,7.39,1.04,162.31,5.13,31.29,265.52,-2.68,-0.28,-0.01,-2.61,0.0009,0.25
10,CC090807-2,"Rookery, small pool","Lower Cave, CC",UNM ,14.10,7.67,21.30,61.13,8.89,0.98,145.83,6.27,24.72,269.12,-2.59,-0.47,-0.28,-2.71,-0.0004,0.62
11,CC090807-4,Doll's Theatre/Painted Grotto,"Big Room, CC",UNM ,14.50,6.67,88.09,44.29,8.12,0.84,210.51,6.04,314.31,672.20,-1.43,-0.80,-1.69,-1.13,0.0027,-0.21
12,CC090807-6,Across from Doll's Theatre,"Big Room, CC",UNM ,14.00,7.61,63.35,65.73,13.52,1.71,145.83,21.91,0.00,312.05,-2.54,-0.07,0.06,,-0.0019,0.93
13,CC090809-2,Iron Pool,"Left Hand Tunnel, CC",UNM ,15.80,8.40,25.97,582.80,944.50,281.20,782.00,998.39,3143.57,6758.43,-2.73,0.46,2.53,-1.44,0.0209,-0.50
14,LC08-03-23,Treehouse,Lechuguilla,UNM ,18.00,7.99,25.53,28.06,3.84,0.13,197.08,3.06,19.95,277.65,-2.67,0.23,0.75,-2.67,0.0016,-0.22
15,LC091109-4,Pool 4,"Near East, Orange Bowl",UNM ,21.27,7.95,23.98,28.12,4.79,0.76,243.00,3.44,16.94,321.02,-2.52,0.29,0.95,-2.78,0.0024,-4.62
16,LC091109-9,Pool 3,"Near East, Orange Bowl",UNM ,20.83,7.95,22.48,32.54,7.28,1.01,249.00,5.68,22.15,340.14,-2.51,0.26,0.98,-2.70,0.0024,-3.53
17,LC091107-9,Pool 2,"Western Branch, Red Seas",UNM ,20.38,8.00,37.16,29.81,4.60,0.79,199.00,3.20,57.70,332.27,-2.66,0.41,1.01,-2.09,0.0017,-0.44
18,LC091107-4,Pool 1,"Western Branch, Red Seas",UNM ,20.38,7.97,27.29,28.75,4.43,0.80,228.00,3.05,13.12,305.43,-2.57,0.33,0.97,-2.83,0.0023,-1.35
19,L100115-01,Vesuvius,Western Branch,UNM,18.00,7.80,26.10,34.70,2.40,0.80,236.00,2.30,17.00,319.30,-2.40,0.12,0.61,-2.75,0.0022,-0.40
20,L100614-1,Deep Secrets,Western Branch,UNM,19.90,8.10,24.37,31.06,4.40,0.00,197.00,6.79,15.08,278.70,-2.77,0.34,1.07,-2.82,0.0015,1.13
21,GO-1,Lake Lechuguilla,GO-1,Turin_Plummer2000,18.00,8.00,38.60,43.30,3.80,0.70,271.00,4.30,45.00,406.70,-2.63,0.43,1.16,-2.21,0.0022,0.00
22,GO-2,Lake Lechuguilla,GO-2,Turin_Plummer2000,18.00,7.40,31.10,42.70,4.40,0.90,249.00,4.20,52.00,384.30,-2.06,-0.29,-0.18,-2.22,0.0021,-0.03
23,GO-3,Lake Lechuguilla,GO-3,Turin_Plummer2000,18.00,8.40,28.90,39.50,3.20,0.90,225.00,4.20,47.00,348.70,-3.12,0.62,1.63,-2.29,0.0018,-0.02
24,GO-4,Lake Lechuguilla,GO-4,Turin_Plummer2000,18.00,8.00,41.10,49.80,4.30,0.90,199.00,4.10,130.00,429.20,-2.77,0.29,0.92,-1.76,0.0015,0.00
