ID	lat	mean_temp	log_npp	vsd_richness	Actinobacteria	Chloroflexi	ecoregion_iv
BAT140418.1	34.95972	8.1	-0.721246399	440.4797491834	2518	40	Lava Malpais
BAT1B	34.95972	8.1	-0.721246399	142.9417732745	642	5	Lava Malpais
BAT4B	34.95972	8.1	-0.721246399	231.0140093239	683	19	Lava Malpais
BRD140419.1	34.895	8	-0.3767507096	461.0293136736	2675	144	Lava Malpais
BRD2B	34.895	8	-0.3767507096	338.6350501789	722	39	Lava Malpais
BRD2F	34.895	8	-0.3767507096	1269.8781361927	10887	546	Lava Malpais
BRD3B	34.895	8	-0.3767507096	373.5585702362	1328	79	Lava Malpais
BRD6F	34.895	8	-0.3767507096	1084.2890979603	6609	874	Lava Malpais
CC140620.1	32.176964	16.2	-0.7447274949	835.4537110954	5019	8	Chihuahuan Desert Slopes
CC140620.13	32.176964	16.2	-0.7447274949	307.0547723398	2353	76	Chihuahuan Desert Slopes
CC140620.17	32.176964	16.2	-0.7447274949	380.9722979219	4019	55	Chihuahuan Desert Slopes
CC140620.21	32.176964	16.2	-0.7447274949	523.4197104663	4141	97	Chihuahuan Desert Slopes
CC140620.25	32.176964	16.2	-0.7447274949	661.0945220541	5703	31	Chihuahuan Desert Slopes
CC140620.29	32.176964	16.2	-0.7447274949	450.7004224968	5111	57	Chihuahuan Desert Slopes
CC140620.33	32.176964	16.2	-0.7447274949	625.942424879	4035	6	Chihuahuan Desert Slopes
CC140620.37	32.176964	16.2	-0.7447274949	624.2987609119	5596	86	Chihuahuan Desert Slopes
CC140620.5	32.176964	16.2	-0.7447274949	586.0551685717	4344	8	Chihuahuan Desert Slopes
CC140620.9	32.176964	16.2	-0.7447274949	564.8001524298	6683	71	Chihuahuan Desert Slopes
CLC11B	34.927	8	-1	416.7929285468	1666	105	Lava Malpais
CLC140420.1	34.927	8	-1	577.8078477657	3588	169	Lava Malpais
CLC140420.7	34.927	8	-1	420.4178190558	2408	92	Lava Malpais
