Organism/Name	TaxID	BioProject Accession	BioProject ID	Phyla	Genus	Size (Mb)	GC%	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession
Candidatus Tremblaya princeps PCVAL	1053648	PRJNA68831	68831	Betaproteobacteria	Betaproteobacteria	0.138931	58.8	155	116	2011/07/19	2012/10/18	Complete	University of Valencia	0	GCA_000220965.1
Candidatus Tremblaya princeps PCIT	891398	PRJNA53211	53211	Betaproteobacteria	Betaproteobacteria	0.138927	58.8	160	121	2011/06/24	2013/06/10	Complete	University of Montana	0	GCA_000219195.1
Candidatus Hodgkinia cicadicola Dsem	573234	PRJNA32135	32135	Alphaproteobacteria	Alphaproteobacteria	0.143795	58.4	189	169	2009/07/13	2011/10/04	Complete	University of Arizona	0	GCA_000021505.1
Candidatus Tremblaya phenacola PAVE	1266371	PRJNA182905	182905	Betaproteobacteria	Betaproteobacteria	0.1715	42.1004	214	175	2013/06/20	2013/06/20	Complete	University of South Bohemia	0	GCA_000412755.1
Candidatus Carsonella ruddii PV	387662	PRJNA17977	17977	Proteobacteria	Gammaproteobacteria	0.159662	16.6	213	182	2006/10/17	2010/03/16	Complete	Kitasato Institute for Life Sciences	0	GCA_000010365.1
Candidatus Carsonella ruddii HC isolate Thao2000	1202538	PRJNA165187	165187	Proteobacteria	Gammaproteobacteria	0.166163	14.2	223	192	2012/08/13	2013/06/09	Complete	Yale University	0	GCA_000287275.1
Candidatus Zinderia insecticola CARI	871271	PRJNA51243	51243	Proteobacteria	Betaproteobacteria	0.208564	13.5	236	206	2010/09/09	2013/06/10	Complete	University of Montana	0	GCA_000147015.1
Candidatus Carsonella ruddii DC	667013	PRJNA39871	39871	Proteobacteria	Gammaproteobacteria	0.174014	17.6	238	207	2013/07/26	2013/09/03	Complete	RIKEN	0	GCA_000441575.1
Candidatus Sulcia muelleri DMIN	641892	PRJNA37785	37785	Bacteroidetes/Chlorobi 	Bacteroidetes	0.243933	22.5	261	226	2010/03/31	2012/12/31	Complete	US DOE Joint Genome Institute	0	GCA_000025785.1
Candidatus Sulcia muelleri GWSS	444179	PRJNA19617	19617	Bacteroidetes/Chlorobi 	Bacteroidetes	0.24553	22.4	264	227	2007/07/19	2013/06/10	Complete	University of Arizona	0	GCA_000017525.1
Candidatus Uzinura diaspidicola str. ASNER	1133592	PRJNA81015	81015	Bacteroidetes/Chlorobi 	Bacteroidetes	0.263431	30.2	272	227	2013/01/17	2013/06/10	Complete	Yale University	0	GCA_000331975.1
Candidatus Sulcia muelleri SMDSEM	595499	PRJNA33829	33829	Bacteroidetes/Chlorobi 	Bacteroidetes	0.276984	22.6	279	242	2009/08/18	2012/12/23	Complete	University of Arizona	0	GCA_000022945.1
